20250122	14:39:31	86f92ecc-d37e-46ec-83f4-8f11f08bffe2	/xx.x	GET
20250122	14:39:31	09cf0692-d7a8-44be-a37b-e8d29f4e380e	/css/style.css	GET
20250122	14:42:21	a8e3c9dc-132a-4760-bf71-f5dbce220adc	/xx.x	GET
20250122	14:42:21	db398fb1-ea48-4ce3-9d7f-3c2df0c5df0b	/img/img1.jpg	GET
20250122	14:42:21	86d70b8d-8e9a-4830-9073-29f29266c6af	/css/style.css	GET
20250122	14:44:51	ebaee3fa-fb09-4d4b-bc1f-27bfad9b7b3e	/xx.x	GET
20250122	14:44:51	bbd41653-f33f-4c58-bc4a-056236eff8a9	/css/style.css	GET
20250122	14:44:51	fc2a835f-07ee-44fb-af09-027cc5ce7599	/img/img1.jpg	GET
20250122	14:44:51	fafb38fe-a62b-44a6-ace6-2d01a856a5f0	/favicon.ico	GET
20250122	14:47:24	e411b25e-65d9-4feb-874a-abc2e175a5d8	/xx.x	GET
20250122	14:47:24	29d975f3-04bf-4bd5-b618-28ca199ba58c	/css/style.css	GET
20250122	14:47:24	edb2c884-d0f3-4582-966a-5e85166f1a04	/favicon.ico	GET
20250122	14:48:13	531a2ef6-f3ca-40a2-beb9-6548b5a483c3	/data.txt	GET
20250122	14:48:13	f1a7fe58-7587-46f2-a58d-25bb4bf98680	/css/style.css	GET
20250122	14:48:27	fcb23bc6-4710-4e8d-99c4-c637986a4da7	/	GET
20250122	14:48:27	150f904c-18ab-4893-857e-341571e9e8f3	/css/style.css	GET
20250122	16:07:32	55ae3449-2641-4c0c-ad97-980653e78ce9	GET	undefined	/
20250122	16:07:32	8d80438e-cd0e-4fc3-8e7e-ec177179ab8f	GET	undefined	/css/style.css
20250122	16:12:53	f4091eb1-d244-4cb9-8b8f-2d5b189cd810	GET	undefined	/
20250122	16:12:53	b3e1519a-d1a2-4423-b4c1-60339356d1ad	GET	undefined	/css/style.css
20250122	16:55:34	350d2dcc-e2c4-4d86-bb7e-0e262657d3b2	GET	undefined	/
20250122	16:55:34	51c7bb4b-f0b4-470b-b957-51b65fb6cd35	GET	undefined	/css/style.css
20250122	16:57:21	babdbff7-bb74-4336-bd21-d14fa9fe7f52	GET	undefined	/
20250122	16:57:21	a425b98d-3e6e-4300-8519-8a4ee249838c	GET	undefined	/css/style.css
20250122	16:57:21	949eb822-660b-490b-be06-35eec7e664b6	GET	undefined	/favicon.ico
20250122	16:59:25	a2dc0dbb-46f7-4d3f-bdd7-36da519d7e62	GET	undefined	/
20250122	16:59:25	b5d9524c-cba1-486a-a518-37feac6d9e65	GET	undefined	/css/style.css
20250122	17:08:14	0a489928-4f85-471e-bd64-1f16b5900175	GET	undefined	/
20250122	17:08:14	76d24d49-1e46-4a02-bbdf-43ec85cd322b	GET	undefined	/css/style.css
20250122	17:08:17	383cd823-ab80-4373-a65a-e4ca9b1ac93f	GET	undefined	/
20250122	17:08:17	1e47eca7-f1e2-4559-b0f2-b2831e3e459a	GET	undefined	/css/style.css
